3/16/07,C172,N389SP,PWK,PWK,INTRO FLIGHT,,1,0.9,,,0.9,,,,,0.9,,0.9
4/30/07,C152,N6085M,PWK,PWK,TURNS. TRIM. POWER TRIANGLE. RADIO OPS,,1,1,,,1,,,,,1,,1
5/2/07,C152,N5461M,PWK,3CK - PWK,GROUND PROCEDURE. TAKEOFF. CLIMB. CRUISE,,2,1.5,,,1.5,,,,,1.5,,1.5
5/7/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, POH STALL",,1,1.3,,,1.3,,,,,1.3,,1.3
5/10/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, SKIDS, POH STALL",,1,1.9,,,1.9,,,,,1.9,,1.9
5/12/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, POH STALLS",,2,1.8,,,1.8,,,,,1.8,,1.8
5/14/07,C152,N6085M,PWK,PWK,"STEEP TURNS, POWER OFF STALLS",,1,2.4,,,2.4,,,,,2.4,,2.4
5/15/07,C152,N5461M,PWK,PWK,TURNED BACK DUE SEVERE WX.,,0,0.4,,,0.4,,,,,0.4,,0.4
5/16/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, STALLS, G REF, STEEP",,1,2.7,,,2.7,,,,,2.7,,2.7
5/17/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, STALLS, G REF",,1,2,,,2,,,,,2,,2
5/21/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, STALLS, G REF",,1,1.9,,,1.9,,,,,1.9,,1.9
5/23/07,C152,N5461M,PWK,PWK,"S TURNS, SLOW FLIGHT, STEEP TURNS",,1,1.7,,,1.7,,,,,1.7,,1.7
5/24/07,C152,N5461M,PWK,ENW - PWK,STEEP TURNS,,2,1.6,,,1.6,,,,,1.6,,1.6
5/25/07,C152,N6085M,PWK,PWK,NIGHT OPERATIONS INTRODUCTION,,3,1.2,,,,1.2,,,,1.2,,1.2
5/30/07,C152,N5461M,PWK,PWK,"SLOW FLIGHT, STEEP TURNS, STALLS",,1,1.5,,,1.5,,,,,1.5,,1.5
5/31/07,C152,N6085M,PWK,PWK,POWER OFF & POWER ON STALLS,,1,1.2,,,1.2,,,,,1.2,,1.2
6/5/07,C152,N5461M,PWK,PWK,,,5,1,,,1,,,,,1,,1
6/6/07,C152,N5461M,PWK,UGN - C81,,,9,2.3,,,2.3,,,,,2.3,,2.3
6/12/07,C152,N6085M,PWK,10C - PWK,"POWER OFF STALLS, LANDINGS, G/A",,5,2.1,,,2.1,,,,,2.1,,2.1
6/20/07,C172,N364SA,PWK,PWK,"AIRSPACE, TURNS, LANDING, NAVIGATION",,1,1,,,1,,,,,1,,1
6/26/14,C172P,N62681,DPA,DPA,"REVIEW SLOW FLIGHT, TURNS, DESCENTS, STEEP TURNS",,1,1.1,,,1.1,,,,,1.1,,1.1
6/29/14,C172P,N62681,DPA,DPA,GROUND REFERENCE MANEUVERS,,1,1.3,,,1.3,,,,,1.3,,1.3
7/4/14,C172P,N62681,DPA,DKB - DPA,"SLOW FLIGHT, STEEP TURNS, POWER OFF STALLS",,2,1.6,,,1.6,,,0.2,,1.6,,1.6
7/14/14,C172P,N62681,DPA,DKB - DPA,"SLOW FLIGHT, POWER OFF STALL, STEEP TURNS, POWER FAILURE",,3,1.4,,,1.4,,,,,1.4,,1.4
7/17/14,C172P,N62681,DPA ,DKB - DPA,"STEEP TURNS, TO & LANDINGS",,4,1.5,,,1.5,,,,,1.5,,1.5
7/21/14,C172P,N62681,DPA ,DKB - DPA,"TAKEOFFS & LANDINGS, SHORT & SOFT",,6,1.4,,,1.4,,,,,1.4,,1.4
7/24/14,C172P,N62681,DPA,DKB- DPA,"GO AROUND, SLIPS, SHORT AND SOFT",,5,1.5,,,1.5,,,,,1.5,,1.5
7/29/14,C172S,N773SP,DPA,LOCAL,"C172SP INTRODUCTION, TAKEOFFS &",,5,1.2,,,1.2,,,,,1.2,,1.2
8/5/14,C172P,N62681,DPA,DKB - DPA,FIRST SUPERVISED SOLO,,6,1.7,,,1.7,,,,,1.3,0.4,1.7
8/12/14,C172P,N62681,DPA,LOCAL,"REVIEW SLOW FLIGHT, STEEP TURNS",,1,1.2,,,1.2,,,,,1.2,,1.2
8/14/14,C172P,N62681,DPA,LOCAL,2ND SUPERVISED SOLO.,,5,1,,,1,,,,,0.6,0.4,1
8/31/14,C172P,N62681,DPA,JVL - DPA,"INTRO X-COUNTRY, PILOGATE, VOR",,2,1.7,,1.7,1.7,,,,,1.7,,1.7
9/3/14,C172P,N62681,DPA,LOCAL,TAKEOFF & LANDINGS PRACTICE,,5,0.7,,,0.7,,,,,,0.7,0.7
9/7/14,C172P,N62681,DPA,LOCAL,"TAKEOFF & LANDINGS, WINDS CALM AND",,6,1.2,,,1.2,,,,,,1.2,1.2
9/14/14,C172P,N62681,DPA,LOCAL,TAKEOFFS & LANDINGS,,6,1.2,,,1.2,,,,,,1.2,1.2
9/17/14,C172P,N62681,DPA - DKB,DPA - ARR - DPA,"NAVIGATION TO AREA AIRPORTS, ARR & DKB",,4,1.5,,,1.5,,,,,1.5,,1.5
9/28/14,C172P,N62681,DPA,IKK - SQI,"NAVIGATION BY PILOTAGE, DEAD RECKON",,2,2.2,,2.2,2.2,,,,,2.2,,2.2
9/28/14,C172P,N62681,SQI,DPA,"NAV BY VOR, LOST PROCEDURES",,1,1.2,,1.2,1.2,,,0.3,,1.2,,1.2
10/5/14,C172P,N62681,DPA,DKB - DPA,"PATTERN ENTRY, XWINDS, GO AROUNDS",,3,1.2,,,1.2,,,,,,1.2,1.2
10/19/14,C172P,N62681,DPA,DKB - DPA,"PATTERN ENTRY, TAKEOFFS AND",,5,1.3,,,1.3,,,,,,1.3,1.3
11/5/14,C172P,N62681,DPA,DKB - DPA,NIGHT FLYING - TO & LANDING FULL STOP,,6,1.3,,,,1.3,,,,1.3,,1.3
11/7/14,C172P,N62681,DPA,PIA - DPA,"NIGHT XC, CLASS C @ PIA.",,4,2.9,,2.9,,2.9,,,,2.9,,2.9
12/7/14,C172P,N62681,DPA,DKB - DPA,"REVIEW SLOW FLIGHT, STEEP TURNS, TO &",,6,1.5,,,1.5,,,,,1.5,,1.5
4/12/15,C172P,N62681,DPA,DKB - DPA,"REVIEW SLOW FLIGHT, STEEP TURNS, STALL",,4,1.7,,,1.7,,,,,1.7,,1.7
4/17/15,C172P,N62681,DPA,IKK - DPA,IKK CONFIRMATION SIGNATURE,,2,1.6,,1.6,1.6,,,,,,1.6,1.6
6/28/15,C172P,N62681,DPA,LOCAL,"TRAFFIC PATTERNS, GO AROUND",,3,1,,,1,,,,,,1,1
7/1/15,C172P,N62681,DPA,LOCAL,"TAKEOFF & LANDINGS, G/A, XWIND",,6,1.2,,,1.2,,,,,1.2,,1.2
7/3/15,C172P,N62681,DPA,LOCAL,TAKEOFFS & LANDINGS,,9,1.4,,,1.4,,,,,,1.4,1.4
7/14/15,C172S,N773SP,DPA,DKB,"C172S, SYSTEMS, AP USAGE, T/O",,3,1,,,1,,,,,1,,1
8/3/15,C172S,N773SP,DPA,DKB - DPA,TRAINING TAKEOFFS AND LANDINGS,,5,1.3,,,1.3,,,,,,1.3,1.3
8/5/15,C172S,N773SP,DPA,MSN - SQI,CONFIRMATION SIGNATURE,,2,2.2,,2.2,2.2,,,,,,2.2,2.2
8/5/15,C172S,N773SP,SQI,DPA,CONFIRMATION SIGNATURE,,1,1.4,,1.4,1.4,,,,,,1.4,1.4
8/10/15,C172S,N773SP,DPA,DKB - DPA,"INSTRUMENT FLYING INTRO, TURNS",,4,1.7,,,1.7,,,1,,1.7,,1.7
8/20/15,C172S,N773SP,DPA,DKB - DPA,"IFR, 45 TURNS, TO LANDINGS, XWIND, GA",,3,1.6,,,1.6,,,0.9,,1.6,,1.6
